Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,BRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.906932089,,,,,7.175471012,,,,,6.658473119,,,,,9.011064982,,,,,9.219250468,9.133493606,,9.465408812,,
Bhutan,BTN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.86876779,,,,,18.59597922,,,,,19.4501317,,,,,22.08440897,,,,,27.91374735,27.24409354,,28.11845033,,
Botswana,BWA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.990808868,,,,,7.796907612,,,,,7.829941936,,,,,7.739112904,,,,,8.385254915,8.793290023,,9.699032765,,
Central African Republic,CAF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82364384,,,,,19.68651162,,,,,19.58185007,,,,,19.74556806,,,,,18.45067191,18.6888425,,19.33297671,,
Canada,CAN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48164571,,,,,10.77464828,,,,,10.69600087,,,,,11.75202444,,,,,11.86908535,11.93017507,,12.13732486,,
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1388664,,,,,23.49635118,,,,,19.06214132,,,,,18.59120034,,,,,17.28201681,16.85954731,,16.18078086,,
Switzerland,CHE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.92405177,,,,,19.50608034,,,,,16.85677072,,,,,18.27163405,,,,,15.91241895,16.30884818,,17.5988063,,
Channel Islands,CHI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23078658,,,,,18.99775068,,,,,19.45704288,,,,,19.54254192,,,,,18.84916758,18.68772702,,18.38037426,,
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.30215507,,,,,41.91099519,,,,,44.15125022,,,,,51.02591326,,,,,54.15091017,54.0757432,,54.35615206,,
Cote d'Ivoire,CIV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.49505998,,,,,19.36663347,,,,,19.21347297,,,,,20.31601994,,,,,18.53563328,18.89271962,,20.30309663,,
Cameroon,CMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.78307612,,,,,22.69892116,,,,,22.46095701,,,,,23.33121874,,,,,20.96843604,21.03029665,,21.344852,,
"Congo, Rep.",COG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.76197358,,,,,16.42952157,,,,,16.33728013,,,,,15.18968519,,,,,14.13830028,13.85458101,,13.81263056,,
Colombia,COL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.148846135,,,,,8.76381809,,,,,9.106287604,,,,,10.10596292,,,,,11.68169997,11.93359865,,12.63048752,,
