region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlertPM10,dataCoverageAlertPM2.5,Number and type of monitoring stations (PM10),Number and type of monitoring stations (PM2.5),Reference
Western Pacific Region,Wpr HI,Australia,Perth,33,17,2014,,,,8,2014,,,,,,,"3 stations, Residential (outer urban)","4 stations, Residential (outer urban)",http://www.der.wa.gov.au/your-environment/air
Western Pacific Region,Wpr HI,Australia,Singleton,34,21,2014,,,,9,2014,,,,,,,"1 station, Rural (small town)",-,http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Sydney,35,17,2014,,,,8,2014,,,,,,,"15 stations, Residential (outer urban)","5 stations, Residential (outer urban)",http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Tamworth,36,16,2014,,,,7,2014,,,,,,,"1 station, Rural (small town)",-,http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Townsville,37,17,2014,,,,7,2014,,,,,,,"2 stations, residential",-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
Western Pacific Region,Wpr HI,Australia,Upper Hunter,38,20,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"3 stations, NA",http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
Western Pacific Region,Wpr HI,Australia,Wagga Wagga,39,21,2014,,,,8,2014,,,,,,,"1 station, Rural (small town)","1 station, Rural (small town)",http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
Western Pacific Region,Wpr HI,Australia,Whyalla,40,16,2014,,,,7,2014,,,,,,,"1 station, rural (small town)",-,http://www.epa.sa.gov.au/data_and_publications/air_quality_monitoring
Western Pacific Region,Wpr HI,Australia,Wollongong,41,17,2014,,,,7,2014,,,,,,,"3 stations, Residential (outer urban)","1 station, Residential (outer urban)",http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
Western Pacific Region,Wpr HI,Australia,Wyong,42,15,2014,,,,6,2014,,,,,,,"1 station, Residential (outer urban)",-,http://www.environment.nsw.gov.au/AQMS/
European Region,Eur HI,Austria,Arnoldstein,43,14,2013,,,,10,2013,,,,,,,"1 station, industrial, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Bad Ischl,44,16,2013,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2013,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, background, suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Bad V_slau,45,18,2013,,,,13,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Biedermannsdorf,46,20,2013,,,,15,2013,,,,,,,"1 station, traffic, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Bludenz,47,18,2013,,,,13,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Bruck An Der Mur,48,24,2013,,,,18,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Deutschlandsberg,49,22,2013,,,,16,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Dornbirn,50,19,2013,,,,14,2013,,,,,,,"1 station, background, urban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Ebenthal,51,20,2013,,,,15,2013,,,,,,,"1 station, background, rural",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Eisenstadt,52,24,2013,,,,19,2013,,,,,,,"1 station, background, suburban","1 station, background, suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Feldkirch,53,23,2013,,,,17,2013,,,,,,,"1 station, traffic, urban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Fôrstenfeld,54,26,2013,,,,19,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,G_nserndorf,55,21,2013,,,,15,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Graz,56,25,2013,,,,19,2013,,,,,,,"5 stations, background suburban","2 stations, background suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Grossenzersdorf,57,24,2013,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",18,2013,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, background, rural-nearcity","European Environment Agency, Air quality e-reporting database"
