Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)",Population
Heavily indebted poor countries (HIPC),HPC,Aggregate,19.57,0.09,28.32,1.28,7.67,NA,59.80,682730030
Croatia,HRV,Country,13.93,21.53,34.32,1.77,61.63,1113,76.92,4255689
Haiti,HTI,Country,13.35,0.00,3.61,1.25,NA,1440,62.03,10431249
Hungary,HUN,Country,15.76,18.66,22.70,1.84,59.63,589,75.06,9893082
Indonesia,IDN,Country,14.77,48.66,51.37,0.47,31.51,2702,68.52,251268276
Isle of Man,IMN,Country,NA,NA,6.07,NA,NA,NA,NA,86462
India,IND,Country,46.68,71.07,23.59,1.25,24.80,1083,67.29,1279498874
Not classified,INX,Country,NA,NA,NA,NA,NA,NA,NA,
Ireland,IRL,Country,7.93,20.08,10.70,2.02,71.24,1118,80.90,4598294
"Iran, Islamic Rep.",IRN,Country,31.89,0.16,6.57,0.33,55.16,228,74.80,77152445
Iraq,IRQ,Country,32.57,0.00,1.90,NA,NA,216,69.24,33781385
Iceland,ISL,Country,7.18,0.00,0.45,1.99,81.36,1940,82.92,323764
Israel,ISR,Country,25.78,61.42,7.32,2.01,67.89,435,81.70,8059500
Italy,ITA,Country,18.34,18.20,31.06,2.28,62.47,832,82.24,60233948
Jamaica,JAM,Country,11.13,0.00,31.06,1.2,30.82,2051,73.28,2714669
Jordan,JOR,Country,25.64,0.00,1.10,1.44,46.61,111,73.75,6460000
Japan,JPN,Country,16.03,29.55,68.47,2,61.46,1668,83.10,127338621
Kazakhstan,KAZ,Country,14.22,76.11,1.23,1.01,56.29,250,69.61,17035275
Kenya,KEN,Country,11.43,0.00,7.56,1.37,NA,630,60.27,43692881
Kyrgyz Republic,KGZ,Country,18.34,4.80,3.45,0.89,NA,533,70.00,5719600
Cambodia,KHM,Country,19.74,2.58,55.74,1.35,NA,1904,67.33,15078564
Kiribati,KIR,Country,7.43,NA,15.00,NA,NA,630,65.60,108544
St. Kitts and Nevis,KNA,Country,NA,NA,42.31,NA,NA,1427,NA,54301
"Korea, Rep.",KOR,Country,29.08,45.08,63.76,1.8,NA,1274,81.21,50219669
