code,name,agri,forest,year
FRO,Faroe Islands,70.12,0.06,2023
FSM,"Micronesia, Fed. Sts.",7.14,92.16,2023
GAB,Gabon,8.36,91.18,2023
GBR,United Kingdom,70.31,13.29,2023
GEO,Georgia,34.13,40.62,2023
GHA,Ghana,55.39,35.19,2023
GIN,Guinea,73.23,24.7,2023
GMB,"Gambia, The",62.65,22.28,2023
GNB,Guinea-Bissau,29.89,69.51,2023
GNQ,Equatorial Guinea,3.73,86.39,2023
GRC,Greece,41.68,30.27,2023
GRD,Grenada,23.53,52.06,2023
GRL,Greenland,0.59,0,2023
GTM,Guatemala,43.04,32.6,2023
GUM,Guam,29.63,51.85,2023
GUY,Guyana,3.41,87.09,2023
HND,Honduras,31.96,56.27,2023
HRV,Croatia,26.55,34.79,2023
HTI,Haiti,65.13,12.26,2023
HUN,Hungary,55.7,22.45,2023
IDN,Indonesia,29.13,47.72,2023
IMN,Isle of Man,69.09,6.07,2023
IND,India,60.06,24.54,2023
IRL,Ireland,60.81,11.53,2023
IRN,"Iran, Islamic Rep.",29.01,6.65,2023
IRQ,Iraq,21.83,1.9,2023
ISL,Iceland,16.25,0.53,2023
ISR,Israel,24.8,6.47,2023
ITA,Italy,44.26,32.89,2023
JAM,Jamaica,38.5,56.19,2023
JOR,Jordan,11.53,1.1,2023
JPN,Japan,12.64,68.4,2023
KAZ,Kazakhstan,79.37,1.31,2023
KEN,Kenya,49.53,6.22,2023
KGZ,Kyrgyz Republic,54.01,7.14,2023
KHM,Cambodia,34.86,43.06,2023
KIR,Kiribati,41.98,1.46,2023
KNA,St. Kitts and Nevis,23.08,42.31,2023
KOR,"Korea, Rep.",16.07,64.11,2023
KWT,Kuwait,8.42,0.35,2023
LAO,Lao PDR,9.91,71.46,2023
LBN,Lebanon,65.91,14.19,2023
LBR,Liberia,19.97,78.14,2023
LBY,Libya,8.72,0.12,2023
LCA,St. Lucia,16.3,34.05,2023
LIE,Liechtenstein,32.31,41.88,2023
LKA,Sri Lanka,48.61,34,2023
LSO,Lesotho,77.76,1.14,2023
LTU,Lithuania,45.89,35.23,2023
LUX,Luxembourg,51.66,34.45,2023
LVA,Latvia,31.67,55,2023
MAR,Morocco,66.74,12.94,2023
